Airline Name,Travel Time,Number of Stops,Ticket Price ($),Departure Airport,Departure Time,1st Stop: Departure Time,1st Stop,2nd Stop: Departure Time,2nd Stop,Destination Airport,Arrival Time,Arrival Date
British,1 days 04:15:00,2 Stops,1689.0,DAC,03:35:00,0 days 02:35:00,DOH,0 days 04:55:00,LHR,JFK,21:50:00,1-04-08
Finnair,1 days 18:15:00,2 Stops,1700.0,DAC,10:50:00,0 days 18:40:00,DOH,0 days 02:05:00,HEL,JFK,19:05:00,1-04-08
American,1 days 14:05:00,1 Stop,1764.0,DAC,05:05:00,0 days 17:50:00,DOH,,,JFK,09:10:00,
British,1 days 00:24:00,2 Stops,1787.0,DAC,03:35:00,0 days 01:40:00,DOH,0 days 02:00:00,LHR,JFK,17:59:00,
British,1 days 02:24:00,2 Stops,1787.0,DAC,03:35:00,0 days 01:40:00,DOH,0 days 04:00:00,LHR,JFK,19:59:00,
British,1 days 03:25:00,2 Stops,1787.0,DAC,03:35:00,0 days 01:40:00,DOH,0 days 04:50:00,LHR,JFK,21:00:00,
British,1 days 03:25:00,2 Stops,1787.0,DAC,03:35:00,0 days 02:35:00,DOH,0 days 03:55:00,LHR,JFK,21:00:00,1-04-08
Air India,1 days 02:55:00,2 Stops,1799.0,DAC,14:40:00,0 days 04:35:00,CCU,0 days 03:45:00,DEL,JFK,07:35:00,
Multiple,1 days 03:30:00,2 Stops,1805.0,DAC,01:40:00,0 days 05:10:00,DXB,0 days 02:00:00,LHR,JFK,19:10:00,
British,1 days 03:25:00,2 Stops,1807.0,DAC,03:35:00,0 days 01:40:00,DOH,0 days 04:50:00,LHR,JFK,21:00:00,
British,1 days 04:15:00,2 Stops,1807.0,DAC,03:35:00,0 days 01:40:00,DOH,0 days 05:50:00,LHR,JFK,21:50:00,1-04-08
Multiple,1 days 18:10:00,2 Stops,1810.0,DAC,10:50:00,0 days 18:25:00,DOH,0 days 02:50:00,BOS,JFK,19:00:00,1-04-08
Qatar,1 days 20:55:00,2 Stops,1835.0,DAC,10:50:00,0 days 18:20:00,DOH,0 days 03:30:00,ORD,LGA,21:45:00,1-04-08
Qatar,2 days 02:59:00,2 Stops,1835.0,DAC,05:30:00,0 days 23:40:00,DOH,0 days 04:13:00,ORD,JFK,22:29:00,1-04-09
Qatar,2 days 17:25:00,2 Stops,1848.0,DAC,05:30:00,0 days 23:40:00,DOH,0 days 18:38:00,ORD,JFK,12:55:00,1-04-09
Qatar,2 days 19:00:00,2 Stops,1848.0,DAC,05:30:00,0 days 23:40:00,DOH,0 days 20:20:00,ORD,JFK,14:30:00,1-04-08
Emirates,1 days 14:10:00,1 Stop,1891.0,DAC,10:15:00,0 days 19:25:00,DXB,,,JFK,14:25:00,
Cathay Pacific,0 days 21:05:00,1 Stop,1894.0,DAC,02:10:00,0 days 01:00:00,HKG,,,JFK,13:15:00,1-04-08
American,1 days 21:55:00,2 Stops,1911.0,DAC,05:05:00,0 days 17:50:00,DOH,0 days 02:25:00,DFW,JFK,17:00:00,1-04-08
